area_type,availability,location,id,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,KR Puram,47,2,,800,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,48,2,,869,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,49,2,Bhncyis,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,50,3,Rosha I,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,51,3,Suent V,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,52,2,RothaVa,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,53,3,NCowsar,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,54,2,Dhalsh ,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,55,4,BrereAt,3010,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,56,2,PeBayle,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,57,6,,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,58,2,,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,59,3,,4395,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,60,2,Laavevi,845,2,1,55
Plot  Area,Ready To Move,Whitefield,61,4,Chranya,5700,5,3,650
Built-up  Area,Ready To Move,Varthur,62,2,HioraTr,1160,2,2,44
Built-up  Area,Ready To Move,Bommanahalli,63,8,,3000,8,0,140
Super built-up  Area,Ready To Move,Doddathoguru,64,2,,1100,2,1,62
Super built-up  Area,18-Apr,Gunjur,65,2,BMineis,1140,2,3,43
Super built-up  Area,Ready To Move,Marathahalli,66,2,,1220,2,1,57
Plot  Area,Ready To Move,Devarachikkanahalli,67,8,,1350,7,0,85
Super built-up  Area,Ready To Move,Kanakpura Road,68,2,,1005,2,1,36.68
Plot  Area,Ready To Move,Double Road,69,3,,500,3,2,100
Super built-up  Area,20-Aug,Begur Road,70,2,Pruthg ,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,71,3,Sonosty,1569,3,1,101
Super built-up  Area,18-Apr,Haralur Road,72,2,SNnia E,1240,2,1,70
Super built-up  Area,Ready To Move,Hennur Road,73,3,Anavi B,2089,3,2,140
Super built-up  Area,Ready To Move,Kothannur,74,2,,1206,2,1,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,75,2,,1150,2,3,40
Built-up  Area,Ready To Move,Cholanayakanahalli,76,3,Viony H,2511,3,3,205
Built-up  Area,Ready To Move,Kaval Byrasandra,77,2,,460,1,0,22
Built-up  Area,Ready To Move,ISRO Layout,78,6,,4400,6,3,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,79,3,AdentEl,1660,2,2,105
Built-up  Area,18-Oct,Hennur Road,80,4,Gollela,2957,,,224.5
Super built-up  Area,19-Mar,Yelahanka,81,2,Niareum,1326,2,2,78
Super built-up  Area,Ready To Move,Garudachar Palya,82,3,,1325,2,2,60.8
Super built-up  Area,Ready To Move,EPIP Zone,83,3,SJlynro,1499,5,2,102
Built-up  Area,Ready To Move,Hegde Nagar,84,6,,3000,7,2,210
Super built-up  Area,Ready To Move,Kanakpura Road,85,3,,1665,3,2,88
Super built-up  Area,17-Sep,Dasanapura,86,2,Tavenew,708,2,2,37
Super built-up  Area,Ready To Move,Kasavanhalli,87,2,Srire S,1060,2,2,58.06
Plot  Area,Ready To Move,Rajaji Nagar,88,6,,710,6,3,160
Built-up  Area,Ready To Move,Sanjay nagar,89,2,Saenti ,1000,2,2,70
Super built-up  Area,18-Dec,Electronic City,90,2,,1000,2,1,28.88
Super built-up  Area,Ready To Move, Mysore Highway,91,3,,1450,2,2,70
Plot  Area,Ready To Move,ISRO Layout,92,4,,1200,4,2,155
Super built-up  Area,17-Aug,Thanisandra,93,2,Bhmesy ,1296,2,3,80
Super built-up  Area,Ready To Move,Domlur,94,3,,1540,3,2,90
Plot  Area,Ready To Move,Kengeri,95,4,Goardth,2894,4,1,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,96,3,,1330,2,1,48
Built-up  Area,Ready To Move,Devasthanagalu,97,2,,1200,2,1,65
Built-up  Area,Ready To Move,T Dasarahalli,98,3,,1200,3,1,90
Super built-up  Area,Ready To Move,Yeshwanthpur,99,3,IBityin,2502,3,3,138
Built-up  Area,Ready To Move,Chandapura,100,2,KHityry,650,1,1,17
Plot  Area,Ready To Move,Kothanur,101,3,BDensar,2400,2,1,150
Super built-up  Area,Ready To Move,Green View Layout,102,2,Makeser,1007,2,2,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,103,2,Maest N,1200,2,2,50
Super built-up  Area,Ready To Move,Peenya,104,2,,966,2,2,49.9
Built-up  Area,Ready To Move,Nagarbhavi,105,3,,1630,2,1,98
Built-up  Area,Ready To Move,Rajaji Nagar,106,3,Brway G,1640,3,2,229
Built-up  Area,Ready To Move,Jalahalli West,107,2,,782,2,2,55.68
Super built-up  Area,19-Apr,Devanahalli,108,2,Oznuean,1260,2,2,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,109,3,,1800,3,3,120
Super built-up  Area,Ready To Move,Byatarayanapura,110,3,Reeroce,1413,2,2,75
Super built-up  Area,Ready To Move,Whitefield,111,2,Sonviik,1116,2,1,51.91
Super built-up  Area,Ready To Move,Electronic City,112,3,DSgmax ,1530,2,1,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,113,4,,3700,4,1,225
Built-up  Area,Ready To Move,Sarjapur  Road,114,3,Cetattu,2497,3,2,140
Super built-up  Area,Ready To Move,Kengeri,115,3,Vaens G,1540,2,3,64
Super built-up  Area,18-Dec,Thanisandra,116,3,,1436,3,1,74.75
Super built-up  Area,18-Jun,Malleshwaram,117,2,,1100,2,2,75
Plot  Area,Ready To Move,Hennur Road,118,2,,276,3,3,23
Super built-up  Area,Ready To Move,Thanisandra,119,3,Moity S,1427,3,2,120
Super built-up  Area,Ready To Move,Akshaya Nagar,120,3,HiahsLa,2061,3,1,200
Super built-up  Area,18-Mar,Hebbal,121,4,SNontle,3067,4,0,477
Built-up  Area,Ready To Move,Shampura,122,4,,2650,4,2,150
Super built-up  Area,22-Dec,Devanahalli,123,3,Sabixtt,1282,2,2,68.52
Built-up  Area,Ready To Move,Kadugodi,124,2,,1050,2,1,34
Built-up  Area,Ready To Move,LB Shastri Nagar,125,3,Sragei ,1600,3,2,65
Super built-up  Area,22-Jan,Vajarahalli,126,2,,945,2,1,54
Super built-up  Area,Ready To Move,Hormavu,127,2,SyidaCr,1500,2,1,78
Plot  Area,Ready To Move,Vishwapriya Layout,128,7,,950,7,0,115
Built-up  Area,Ready To Move,Peenya,129,3,Jahts H,1870,3,3,110
Plot  Area,Ready To Move,Sarjapur,130,3,Inensba,1600,3,1,75
Super built-up  Area,Ready To Move,Electronic City,131,2,Itelaa ,880,1,1,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,132,4,,1200,4,0,210
Super built-up  Area,Ready To Move,Kudlu Gate,133,3,Srier P,1535,3,2,83
Built-up  Area,Ready To Move,Kanakpura Road,134,2,Wiowsri,950,2,1,57
Super built-up  Area,18-Aug,Devanahalli,135,2,Derdsig,1360,2,1,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,136,2,Vaarech,1042,2,0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,137,3,,1280,3,1,50.4
Super built-up  Area,19-Jan,Chandra Layout,138,3,TiaksAa,1260,2,2,85.05
Built-up  Area,Ready To Move,Hennur Road,139,8,,5000,8,,250
Super built-up  Area,19-Dec,Yelahanka,140,5,LedorSa,3050,5,1,213
Super built-up  Area,Ready To Move,Kasavanhalli,141,3,HMwerCo,1563.05,3,1,105
Super built-up  Area,Ready To Move,ISRO Layout,142,2,,1000,2,1,60
Super built-up  Area,17-Jul,Anandapura,143,2,ViensRK,1167,2,1,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,144,7,,4000,7,2,225
Super built-up  Area,Ready To Move,Kothanur,145,3,Somumys,1828,3,,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,146,2,HoiewLa,890,2,1,35
Super built-up  Area,Ready To Move,Basavanapura,147,3,Dwity T,1612,3,3,46.74
Plot  Area,Ready To Move,Dinnur,148,6,,1034,5,,185
Super built-up  Area,19-Apr,Mysore Road,149,3,Brama P,1710,4,2,91.31
Super built-up  Area,Ready To Move,Kannamangala,150,2,VBownre,957,2,1,58
Super built-up  Area,18-May, Devarachikkanahalli,151,3,,1250,2,3,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,152,3,Betatsi,2795,4,,235
Super built-up  Area,Ready To Move,Hulimavu,153,2,Prcan P,1125,2,2,50
Super built-up  Area,18-Jul,Electronic City Phase II,154,2,Sryalan,1020,2,1,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,155,2,,1200,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,156,3,Soitya ,1735,3,3,135
Super built-up  Area,Ready To Move,Thanisandra,156,3,G conTh,2050,3,1,145
Plot  Area,Ready To Move,Mahalakshmi Layout,157,4,,3750,4,0,760
Built-up  Area,Ready To Move,Yarandahalli,158,3,,1350,2,3,48
Super built-up  Area,18-May,Hosa Road,159,2,SStusan,1063,2,1,32
Super built-up  Area,Ready To Move,Keshava Nagar,160,3,ETens G,1904,3,1,150
Built-up  Area,Ready To Move,Whitefield,161,4,,4200,4,2,420
Super built-up  Area,Ready To Move,RMV Extension,162,3,Hohnari,2000,3,1,175
Super built-up  Area,18-Dec,Sarjapur,163,2,Kinuerg,1145,2,0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,164,3,Naods W,1425,2,2,75
Super built-up  Area,Ready To Move,Electronic City,165,3,GMown E,1500,2,1,64.5
Built-up  Area,Ready To Move,Electronic City,165,2,GMown E,1060,2,1,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,166,3,Sancyra,1470,2,2,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,167,6,,1300,6,0,99
Super built-up  Area,Ready To Move,Attibele,168,1,Jae 1hu,450,1,1,11
Super built-up  Area,18-Apr,Electronic City,169,2,Prarkun,1152,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,169,3,GMown E,1350,2,1,56
Super built-up  Area,Ready To Move,CV Raman Nagar,170,3,Srshq T,1550,3,3,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,171,3,,1500,3,2,100
Plot  Area,Ready To Move,Kumaraswami Layout,172,5,,600,3,2,85
Plot  Area,Ready To Move,Nagavara,173,1,,400,1,0,14
Super built-up  Area,Ready To Move,Malleshwaram,174,1,Utntspa,705,1,2,67
Built-up  Area,Ready To Move,Electronic City,175,2,GMown E,770,1,1,36
Super built-up  Area,Ready To Move,Hulimavu,176,2,Aniona ,1242,2,3,51
Super built-up  Area,Ready To Move,Hebbal Kempapura,177,3,Goateds,1700,3,2,155
Super built-up  Area,Ready To Move,Thanisandra,178,3,Soitya ,2144,3,2,145
Super built-up  Area,21-Jun,Vijayanagar,179,3,Saahaat,1704,3,2,110
Super built-up  Area,Ready To Move,Electronic City,180,2,GMown E,1070,2,1,52
Plot  Area,Ready To Move,8th block Koramangala,181,3,,1846,3,2,300
Super built-up  Area,Ready To Move,Jakkuru Layout,182,2,,1340,2,2,55.7
Built-up  Area,Ready To Move,Electronic City,183,2,GMown E,1025,2,1,46
Super built-up  Area,Ready To Move,KR Puram,184,2,MCvarar,1015,2,0,56.8
Super built-up  Area,Ready To Move,Marathahalli,185,2,VRave E,1200,2,2,52
Built-up  Area,18-Dec,Kanakpura Road,186,4,,2250,4,1,110
Super built-up  Area,Ready To Move,Pattandur Agrahara,187,3,MaidoPl,1550,2,3,80
Plot  Area,Ready To Move,Bellandur,188,4,,1200,5,,325
Plot  Area,Ready To Move,Ejipura,189,7,,1800,7,1,250
Super built-up  Area,Ready To Move,Marathahalli,190,2,Aiitya ,1200,2,2,60
Super built-up  Area,Ready To Move,Yelahanka,191,2,PuziaVe,1327,2,2,98
Super built-up  Area,Ready To Move,Kothanur,192,2,,1186,2,2,58
Built-up  Area,Ready To Move,MS Pallya,193,3,,1783,3,1,115
Super built-up  Area,Ready To Move,HSR Layout,194,3,NRosete,1400,3,2,56
Super built-up  Area,Ready To Move,Nagasandra,195,2,,980,2,1,48
Super built-up  Area,Ready To Move,EPIP Zone,196,2,,1285,2,2,82
Super built-up  Area,Ready To Move,Langford Town,197,3,,912,2,1,70
Built-up  Area,Ready To Move,Whitefield,198,2,Sancya ,1225,2,2,47.6
Super built-up  Area,Ready To Move,Whitefield,198,2,,1075,2,1,53
Built-up  Area,Ready To Move,Kadugodi,199,3,MSingco,1260,2,2,54
Super built-up  Area,Ready To Move,Yelahanka,200,3,Pyikad ,1282,2,2,48.7
Super built-up  Area,Ready To Move,Kogilu,201,3,CaIRSCr,1909,3,2,88
Super built-up  Area,Ready To Move,Panathur,202,2,Prcesvy,1359,2,1,87
Built-up  Area,Ready To Move,Nagondanahalli,203,2,,1207,2,2,43.5
Plot  Area,Ready To Move,Padmanabhanagar,204,4,,1736,6,0,190
Super built-up  Area,20-May,1st Block Jayanagar,205,4,,2850,4,1,428
Super built-up  Area,Ready To Move,Kammasandra,206,3,Emstael,1595,3,2,65
Built-up  Area,18-Jun,"Off Sarjapur Road, ",207,3,,1798,3,2,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,208,3,SNdri N,1475,3,2,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,209,3,HodhiSa,1580,3,3,100
Super built-up  Area,Ready To Move,Dasarahalli,210,2,Syonyph,1295,2,1,65
Built-up  Area,Ready To Move,Magadi Road,211,6,,3600,6,0,141
Super built-up  Area,Ready To Move,Electronic City,212,1,Itvir M,589,1,1,27
Super built-up  Area,Ready To Move,Ngef Layout,213,3,,1415,3,3,78
Super built-up  Area,18-Dec,Sarjapur  Road,214,3,Klark L,1787,3,2,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,214,3,Klark L,1787,3,2,125
Super built-up  Area,Ready To Move,Koramangala,215,3,Piityra,1475,2,3,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",216,4,,2000,4,1,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,217,2,AsastDe,984,2,1,44.28
Super built-up  Area,19-Dec,Devanahalli,218,3,Jurdsig,1520,,,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,219,3,MacleK ,2405,4,2,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,220,2,Brnia G,1080,2,2,72
Plot  Area,Ready To Move,Shantiniketan Layout,221,2,,1500,2,1,115
Super built-up  Area,Ready To Move,Hebbal,222,3,,1900,3,2,119
Super built-up  Area,19-Aug,Dommasandra,223,2,,805,2,1,22.14
Super built-up  Area,Ready To Move,Budigere,224,2,PrityTr,1153,2,2,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,225,2,AlEcone,1148,2,2,60
Super built-up  Area,Ready To Move,Mylasandra,226,2,Laowsba,1110,2,2,55
Built-up  Area,Ready To Move,Electronic City,227,2,Saave R,1100,2,2,42
Super built-up  Area,Ready To Move,Kalyan nagar,228,2,Anave S,1290,2,2,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,229,3,,1500,2,1,65
Super built-up  Area,18-Apr,Bank Of Baroda Colony,230,2,,1080,2,2,39
Super built-up  Area,21-Jun,Vijayanagar,231,3,Saityat,1933,3,1,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,232,5,,3500,5,2,150
Built-up  Area,Ready To Move,Kullappa Colony,233,2,,1060,2,2,60
Super built-up  Area,18-Aug,Chandapura,234,1,SunceEs,645,1,1,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,235,8,,2600,8,2,180
Super built-up  Area,18-Sep,Chandapura,236,1,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,237,3,SJcerpe,1644,3,3,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,238,2,Supams ,1285,2,3,72.5
Plot  Area,Ready To Move,Electronic City,239,3,,1200,3,1,90
Super built-up  Area,Ready To Move,Electronic City,239,2,CoapeSo,910,2,1,40
Super built-up  Area,Ready To Move,Kothanur,240,3,Bisic C,1577,3,1,70
Plot  Area,17-May,Meenakunte,241,3,Sreat R,4050,3,2,280
Super built-up  Area,Ready To Move,OMBR Layout,242,3,Inntsa ,2420,3,2,185
Super built-up  Area,Ready To Move,Chandapura,243,2,KHityry,800,1,1,20
Built-up  Area,Ready To Move,Anand Nagar,244,2,,1060,2,2,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,245,2,BriumMi,1270,2,2,93
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,246,2,,900,2,2,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,247,2,,1280,2,1,69
Plot  Area,Ready To Move,Horamavu Agara,248,4,,1200,2,0,95
Built-up  Area,Ready To Move,Sarjapur  Road,249,2,,1025,2,2,36
Super built-up  Area,17-Jun,Electronic City,250,2,Prarkun,1108,2,1,63
Plot  Area,Ready To Move,MCECHS  layout,251,5,,1200,5,,170
Super built-up  Area,Ready To Move,Coffee Board Layout,252,3,Calyxy ,3045,3,2,170
Plot  Area,Ready To Move,Ambedkar Nagar,253,4,Thessrm,2900,3,2,300
Super built-up  Area,Ready To Move,Vijayanagar,254,3,JJortom,1500,3,2,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,255,2,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,Budigere,256,2,PrityTr,1162,2,1,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,257,2,Usquaya,1035,2,2,49.2
Built-up  Area,Ready To Move,Attibele,258,4,Natic T,1600,4,0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,259,3,,1464,3,2,46
Super built-up  Area,18-Oct,Hennur Road,260,3,DSapeSk,1866,2,2,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,261,2,Jahtsa ,700,1,1,26
Super built-up  Area,Ready To Move,Kalena Agrahara,262,3,Prillot,1804,3,2,120
Super built-up  Area,Ready To Move,Sarjapur,263,2,,913,2,1,32
Super built-up  Area,21-Dec,Talaghattapura,264,3,Sodgere,1868,3,2,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,265,2,,883,2,1,45
Plot  Area,Ready To Move,Sundara Nagar,266,2,,900,2,1,110
Super built-up  Area,Ready To Move,Kogilu,267,3,,1664,2,3,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,268,3,SoitaCa,2026,3,2,132
Super built-up  Area,Ready To Move,Balagere,269,2,Soestin,1210,2,1,80.9
Plot  Area,Ready To Move,Meenakunte,270,4,Sreat R,4111,4,2,250
Super built-up  Area,Ready To Move,Kadugodi,271,3,Alestrb,1762,3,3,91.45
Super built-up  Area,Ready To Move,Jigani,272,3,DLhtsen,1252,3,3,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,273,2,Mauner ,861,2,1,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,274,3,Brnia G,1420,2,1,100
Plot  Area,Ready To Move,Srirampura,275,6,,1450,6,0,250
Built-up  Area,Ready To Move,Electronics City Phase 1,276,3,GaicaVe,1490,3,1,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,277,3,,1075,2,1,46
Super built-up  Area,18-Aug,Old Madras Road,278,3,Saesttt,1425,2,2,94
Built-up  Area,Ready To Move,Kalena Agrahara,279,2,Nae 2El,1200,2,1,40
Super built-up  Area,Ready To Move,Kaggadasapura,280,3,,1280,2,2,56
Super built-up  Area,Ready To Move,Silver Springs Layout,281,2,Bhinglv,1084,2,2,50
Super built-up  Area,18-Jul,Chandapura,282,2,SunceEs,1015,2,2,25.88
Super built-up  Area,21-May,Kanakpura Road,283,2,GolusLi,1017,2,1,51.25
Super built-up  Area,Ready To Move,Haralur Road,284,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Electronic City Phase II,285,2,Coush W,1069,2,2,45
Super built-up  Area,Ready To Move,Hebbal,286,2,Prersis,1349,2,1,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,287,2,NaensGa,1005,2,1,50
Super built-up  Area,Ready To Move,Jakkur,288,2,Arzzo P,1417,2,3,75
Plot  Area,18-Jan,TC Palaya,289,3,,1475,3,1,98
Carpet  Area,Ready To Move,Maruthi Sevanagar,290,2,SMikaay,950,2,2,47
Super built-up  Area,Ready To Move,RMV 2nd Stage,291,4,Prave E,2000,4,0,120
Plot  Area,Ready To Move,Giri Nagar,292,3,,880,3,1,140
Super built-up  Area,Ready To Move,Sarjapur  Road,293,4,Ahriaup,1863,3,2,104
Super built-up  Area,Ready To Move,Singasandra,294,2,Priewhi,1010,2,1,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,295,3,Shodsth,1425,2,1,70
Super built-up  Area,Ready To Move,Vijayanagar,296,3,Swadeh ,1450,3,0,100
Super built-up  Area,Ready To Move,Kothanur,297,3,Somumys,1847,3,2,105
Super built-up  Area,Ready To Move,AECS Layout,298,2,Soran U,1100,2,3,45
Super built-up  Area,20-Dec,Kanakpura Road,299,1,PrarePa,525,1,1,26
Super built-up  Area,Ready To Move,Mallasandra,300,3,Puestig,1665,3,2,95
Super built-up  Area,Ready To Move,Begur,301,4,Prntsrt,1664,4,3,65
Super built-up  Area,Ready To Move,JP Nagar,302,3,Maerar ,1850,3,3,150
Super built-up  Area,Ready To Move,Panathur,303,2,Vaesh T,1438,2,3,100
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,304,3,MaisePa,1560,3,3,115
Super built-up  Area,18-Apr,Yelahanka,305,2,,1350,2,1,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,306,3,JRrnauv,1550,3,3,67
Super built-up  Area,18-Apr,Malleshpalya,307,2,,1140,2,2,46.5
Plot  Area,Ready To Move,Srirampura,308,5,,1200,5,2,180
Super built-up  Area,18-Dec,Kodathi,309,2,,850,2,2,27
Super built-up  Area,Ready To Move,Whitefield,310,2,Gotis A,1280,2,2,75
Built-up  Area,Ready To Move,Munnekollal,311,2,,1170,2,2,52
Super built-up  Area,Ready To Move,Motappa Layout,312,2,Puodse ,1113,2,1,51
Super built-up  Area,Ready To Move,Hennur Road,313,2,Mileeou,1385,2,1,83.09
Super built-up  Area,18-Apr,Electronic City,314,2,Prarkun,1128,2,1,65
Plot  Area,Ready To Move,Marathahalli,315,2,,1200,2,2,128
Plot  Area,Ready To Move,Akshaya Vana,316,4,,1200,4,3,165
Super built-up  Area,Ready To Move,Rajaji Nagar,317,3,PhestOn,2390,3,2,415
Plot  Area,Ready To Move,Giri Nagar,318,4,,2400,4,1,400
Super built-up  Area,Ready To Move,Haralur Road,319,3,NRowse ,1464,3,2,56
Super built-up  Area,Ready To Move,Manayata Tech Park,320,2,,1200,2,2,55
Super built-up  Area,Ready To Move,Kaval Byrasandra,321,2,Abncy R,1200,2,2,52
Super built-up  Area,Ready To Move,Kaggalipura,322,3,Baowsig,1150,2,1,55
Built-up  Area,Ready To Move,Basavanna Nagar,323,3,Itala A,1645,3,2,95
Super built-up  Area,20-Mar,Sarjapur  Road,324,2,,1000,2,1,67
Plot  Area,Ready To Move,Haralur Road,325,4,,2650,4,2,198
Super built-up  Area,Ready To Move,6th Phase JP Nagar,326,2,HMinebo,1192,2,2,74
Super built-up  Area,Ready To Move,Ulsoor,327,3,K borja,2135,3,2,215
Super built-up  Area,19-Dec,Whitefield,328,2,Oreldhi,1173,2,1,58
Built-up  Area,Ready To Move,Uttarahalli,329,2,Sungspr,1020,2,2,45
Super built-up  Area,Ready To Move,Thigalarapalya,330,4,Prtanha,3122,6,2,230
Super built-up  Area,Ready To Move,Somasundara Palya,331,3,,1600,3,3,64
Plot  Area,18-Mar,T.C PALYA,332,2,,1200,2,0,79
